date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
10/13/2010,20.64,20.85,20.3601,20.5401,320541,1.3693,1.48,12502327.8
10/14/2010,21,21.03,20.4,20.7501,294620,1.3833,1.02,10708882.9
10/15/2010,20.8899,20.9001,20.25,20.5401,284840,1.3693,-1.01,10023669.45
10/18/2010,20.52,20.64,20.22,20.2299,162729,1.3487,-1.5,9435110
10/19/2010,20.1999,20.406,20.0001,20.0499,245127,1.3367,-0.89,9021955.3
10/20/2010,20.16,20.6901,20.04,20.6499,312444,1.3767,2.99,8534176.35
10/21/2010,20.61,20.9499,20.4501,20.7501,417999,1.3833,0.48,8346618.6
10/22/2010,20.6799,20.9301,20.55,20.7201,161021,1.3813,-0.14,8033144.1
10/25/2010,20.94,20.9799,20.73,20.85,118614,1.39,0.63,7808156.85
10/26/2010,20.7999,21.87,20.5101,21.36,660841,1.424,2.45,7392938.9
10/27/2010,21.2499,21.3801,20.6499,21,356500,1.4,-1.69,6183221.2
10/28/2010,21.39,21.5001,20.9601,21.1899,224190,1.4127,0.91,4703895
10/29/2010,21.1401,21.8499,21.0519,21.84,280682,1.456,3.07,4465103.25
11/1/2010,21.9399,22.7499,21.3099,21.4101,455784,1.4273,-1.97,4324242
11/2/2010,21.6801,21.8793,21.0501,21.2499,322465,1.4167,-0.74,4317138.75
11/3/2010,21.2799,22.5,21.1599,21.7701,374199,1.4513,2.44,4362624
11/4/2010,22.5999,25.3299,22.1511,24.9,1874800,1.66,14.38,5662959.7
11/5/2010,24.87,24.9699,23.7201,24.4401,1010945,1.6293,-1.85,6220086.65
11/8/2010,24.5001,24.9999,24.03,24.9801,509475,1.6653,2.21,6473797.4
11/9/2010,24.9999,25.6899,24.0501,24.63,957748,1.642,-1.4,7009175.1
11/10/2010,24.48,29.97,24.0501,29.3601,3061037,1.9573,19.2,9064547.75
11/11/2010,28.5999,29.1,27.33,28.035,1945093,1.869,-4.51,10302403.2
11/12/2010,28.2501,30.5001,28.0701,29.8401,2729168,1.9893,6.44,12135649.85
11/15/2010,30.2199,32.9394,30.2199,30.8001,2625132,2.0533,3.22,13982452.75
11/16/2010,30.9999,31.4001,28.4199,29.67,1347730,1.978,-3.67,14809405.7
11/17/2010,30.2001,30.75,28.6101,29.49,750341,1.966,-0.61,15137828.45
11/18/2010,30.6699,30.7401,28.92,29.8899,956247,1.9927,1.36,15541515.15
11/19/2010,30.1599,31.3701,29.7,30.99,1150493,2.066,3.68,16283619.85
11/22/2010,31.5699,33.45,31.5,33.3999,1529971,2.2267,7.78,17342138.3
11/23/2010,33.2901,35.6799,32.19,34.5699,1578069,2.3047,3.5,18030060
11/24/2010,35.2701,35.97,34.3341,35.4699,1424958,2.3647,2.6,18831404.2
11/26/2010,35.6001,36,34.7499,35.3199,350554,2.3547,-0.42,18926177.2
11/29/2010,35.412,35.9499,33.33,34.3299,1145542,2.2887,-2.8,19574822.9
